5.59128,50.61489,"Pilotprojekt im Tunnel de Cointe, Messung jeweils am Ein- und Ausgang","[26963]"
5.56236,50.62917,"Pilotprojekt im Tunnel de Cointe, Messung jeweils am Ein- und Ausgang","[26964]"
14.13111,40.83581,"KM 4.3 - 9.7, Direzione Est","[27492]"
14.23508,40.86236,"KM 15.4 - 17.4, Direzione Est","[27494]"
14.19192,40.83453,"KM 9.9 - 8.1, Direzione Ovest","[27496]"
14.21492,40.85119,"KM 13.2 - 11.4, Direzione Ovest","[27498]"
14.70572,40.71264,"KM 42.8 - 51.7, Napoli > Salerno","[44262-]"
16.28819,41.20625,"[85281-]","[85281-]"
4.84153,52.34139,"SectionControl zw. AS De Nieuwe Meer und Coentunnel (21.2 - 27.2 km)","[6047]"
4.36906,52.06378,"SectionControl in Rtg. Den Haag","[1386]"
4.43194,51.92847,"Section-Control in Rtg. Gouda, km 29.0 und 31.4","[3887]"
4.84431,52.38806,"SectionControl zw. AS De Nieuwe Meer und Coentunnel (21.2 - 27.2 km), removed (?)","[4372-]"
4.47739,51.94142,"Section-Control aus Rtg. Gouda, km 29.0 und 31.4","[4445]"
5.13222,52.05528,"SectionControl in Rtg. Den Haag, removed(?)","[15571-]"
9.32500,58.93639,"N","[6264]"
7.50222,61.06403,"S","[5941]"
5.63339,59.01550,"2 Blitzer im Tunnel in Rtg. Norden","[5964]"
16.54111,68.72769,"S","[5977]"
16.52319,68.70567,"N","[5978]"
7.21472,60.89889,"Tunnel, N","[14823]"
10.68708,60.24486,"SO","[14848]"
5.89586,62.24525,"im Tunnel","[50038-]"
9.17833,60.49061,"[53577-]","[53577-]"
9.34011,61.92033,"SO, Section Control","[29126-]"
9.39333,61.89625,"NW, Section Control","[29127-]"
9.45122,58.96097,"[29714-]","[29714-]"
10.86353,62.00000,"N, 9.5 km long section with average speed control","[37088-]"
10.72722,62.05186,"S, 9.5 km long section with average speed control","[37090-]"
9.25092,62.10286,"S","[37107-]"
5.98742,62.21536,"im Tunnel","[43457-]"
10.69783,60.21411,"[86238-]","[86238-]"
11.67878,60.93708,"[86240-]","[86240-]"
11.79369,61.01108,"[86241-]","[86241-]"
13.42913,54.67696,"[31313-]@30","[31313-]"
19.01858,69.66206,"[86243-]","[86243-]"
9.13083,60.55586,"[86244-]","[86244-]"
10.76083,59.45750,"[86248-]","[86248-]"
10.81636,63.41053,"[86252-]","[86252-]"
10.17453,61.49564,"S","[89276-]"
10.18658,61.46556,"N","[89277-]"
10.71978,59.44892,"[89278-]","[89278-]"
10.09739,60.35486,"S","[89279-]"
10.19303,60.27978,"N","[89280-]"
10.95233,59.04742,"[89281-]","[89281-]"
11.00281,59.03739,"[89282-]","[89282-]"
16.42903,48.21914,"Section-Control, auch Abstandsmessung","[5406]"
16.40739,48.23539,"Section-Control, auch Abstandsmessung","[5540]"
17.03556,48.21214,"Section Control","[19437]"
0.76508,42.62278,"[38110-]","[38110-]"
-4.63753,36.50853,"[86673-]","[86673-]"
-4.68781,36.49850,"[86674-]","[86674-]"
-4.42333,36.88322,"[88286-]","[88286-]"
-4.44561,36.82028,"[88375-]","[88375-]"
14.39681,49.99694,"N","[17931]"
14.42222,50.03236,"[17934]","[17934]"
14.52758,50.06939,"SW","[17955]"
14.47131,50.04222,"N","[17969]"
13.40333,49.68081,"Tunneleingang/-ausgang, beidseitig","[18009]"
13.40922,49.68083,"Tunneleingang/-ausgang, beidseitig","[18010]"
14.47383,50.04844,"[65120-]","[65120-]"
14.49422,50.14519,"[65121-]","[65121-]"
14.37367,49.99617,"NW","[85912-]"
14.35647,49.99914,"NW","[89570-]"
14.43136,49.98222,"[89571-]","[89571-]"
14.40656,49.98178,"[89572-]","[89572-]"
15.14428,50.58817,"[89575-]","[89575-]"
18.98325,69.68078,"[86242-]","[86242-]"
