18.97975,43.66983,"W","[24775-]"
17.91833,44.19500,"beidseitig","[29737-]"
23.76889,61.49558,"N","[9042]"
23.76903,61.49531,"S","[10195]"
24.91786,60.17581,"S","[82411-]"
-0.40639,51.47183,"NO","[23339]"
-0.26747,51.48772,"O","[10439]"
-2.24417,53.43967,"N","[10476]"
-2.42425,53.50611,"O","[10544]"
-4.34069,55.87669,"O","[10654]"
-1.24178,52.66844,"SO","[10797]"
0.11806,51.53228,"W","[10939]"
-1.30019,54.60525,"S","[14144-]"
-1.47325,52.39311,"just before railway bridge, northeast-bound","[15562]"
-0.26389,51.52200,"SO","[24802]"
-0.23556,51.51444,"O","[36737]"
12.23867,45.52694,"direz. ne Mestre","[85287-]"
9.16447,45.18481,"[88218-]","[88218-]"
16.30361,48.08692,"Ecke Karlgasse, beidseitig (?)","[51054]"
20.41844,51.22319,"S","[21362]"
13.42913,54.67696,"[31313-]@30","[31313-]"
38.87308,47.25514,"[69832-]","[69832-]"
56.81839,59.40911,"[69275-]","[69275-]"
45.69419,43.32856,"[69258-]","[69258-]"
55.73069,58.07608,"[68998-]","[68998-]"
55.73172,58.07589,"[68997-]","[68997-]"
42.58867,54.17194,"[68807-]","[68807-]"
43.08036,44.02431,"[68797-]","[68797-]"
43.13608,44.21286,"[68794-]","[68794-]"
43.09267,44.01708,"[68793-]","[68793-]"
20.52222,44.79092,"[36561-]","[36561-]"
20.40928,44.81336,"[36562-]","[36562-]"
20.46586,44.78675,"[36564-]","[36564-]"
20.49078,44.80233,"[36565-]","[36565-]"
20.40619,44.77508,"[36560-]","[36560-]"
20.48028,44.76108,"[53822-]","[53822-]"
6.19242,46.19236,"Hohe Fussgangerubergang","[39]"
6.19258,46.19261,"Hohe Fussgangerubergang","[51720]"
6.19833,46.18806,"Rtg. Chene-Bougerie","[25785]"
6.20039,46.18906,">France","[88115]"
16.24400,51.71450,"N, Attrappe","[21514]"
